,title,company,location,salary,post_date,career_level,qualification,experience,job_type,industry
12,Junior System Engineer (Part Time) ,Guna Technologies Limited,Kwun Tong,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Contract, Freelance, Full Time, Internship, Part Time, Permanent, Temporary",Information Technology
13,Project Engineer / Network Engineer,Guna Technologies Limited,Kwun Tong,Salary provided,Posted on 12 Apr 2021,Middle,Matriculated,3 years,"Contract, Full Time, Part Time, Permanent",Information Technology
14,Project Coordinator,Guna Technologies Limited,Kwun Tong,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Information Technology
15,Network Engineer ,Macro Systems Ltd,Kwun Tong,Salary negotiable,Posted on 12 Apr 2021,Middle,Non-Degree Tertiary,2 years,"Full Time, Permanent",Information Technology
16,Assistant Manager (IT Applications),SINO ESTATES MANAGEMENT LIMITED,,Salary negotiable,Posted on 12 Apr 2021,Middle,Degree,8 years,"Full Time, Permanent","Information Technology (IT) > IT Management, Information Technology (IT) > Others, Information Technology (IT) > Data Scientist"
17,Project Manager – Information Technology,Connexus Travel Limited,Kwun Tong,Salary provided,Posted on 12 Apr 2021,Senior,Degree,4 years,"Contract, Full Time",Tourism / Travel Agency
18,Business Analyst ,SINO ESTATES MANAGEMENT LIMITED,,Salary negotiable,Posted on 12 Apr 2021,Middle,Degree,2 years,"Full Time, Permanent","Information Technology (IT) > Product Management / Business Analyst, Information Technology (IT) > Software Development, Property / Real Estate > Property Management"
19,Senior IT Officer (System Engineer),SINO ESTATES MANAGEMENT LIMITED,,Salary negotiable,Posted on 12 Apr 2021,Senior,Degree,5 years,"Full Time, Permanent","Information Technology (IT) > Support, Information Technology (IT) > IT Management, Information Technology (IT) > Network & System"
20,Senior Electronics Engineer,ViShare Technology Limited,Shatin Area,Salary negotiable,Posted on 12 Apr 2021,Not Specified,Degree,6 years,"Full Time, Permanent",Engineering - Electrical / Electronic / Mechanical
21,Middleware Specialist,Automated Systems (HK) Ltd,North Point,Salary provided,Posted on 12 Apr 2021,Middle,Non-Degree Tertiary,5 years,"Contract, Full Time",Information Technology
22,Information Technology Support ,SINO ESTATES MANAGEMENT LIMITED,,Posted on 12 Apr 2021,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent","Information Technology (IT) > Support, Information Technology (IT) > Application Specialist - Network, Information Technology (IT) > Network & System"
23,IT Infrastructure and Security Manager （PW）,Ping An Bank Company Ltd.,Central,Salary provided,Posted on 12 Apr 2021,Middle,Degree,7 years,Full Time,Banking
24,Programmer ,SINO ESTATES MANAGEMENT LIMITED,,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,Not Specified,"Full Time, Permanent","Information Technology (IT) > Support, Information Technology (IT) > Software Development, Information Technology (IT) > Others"
25,Senior Manager (Information Technology),SINO ESTATES MANAGEMENT LIMITED,,Salary negotiable,Posted on 12 Apr 2021,Senior,Degree,10 years,"Full Time, Permanent","Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > IT Management, Information Technology (IT) > Software Development"
26,IT Support Engineer,Marching Pharmaceutical Limited,Tsing Yi,Posted on 12 Apr 2021,Posted on 12 Apr 2021,Not Specified,Not Specified,3 years,Full Time,Medical / Pharmaceutical
27,Programmer (Functional title: Senior Information Officer/ Information Officer) (Post Ref.:21/47),Lingnan University,Tuen Mun Area,Salary provided,Posted on 12 Apr 2021,Entry Level,Degree,2 years,Full Time,"Information Technology (IT) > Software Development, Information Technology (IT) > Technical Writing"
28,Project Coordinator - IT Innovation (Fresh graduate is welcome) ,CITIC Telecom International CPC Limited,Kwun Tong,Salary provided,Posted on 12 Apr 2021,Entry Level,Degree,1 year,"Full Time, Permanent",Telecommunication
29,Assistant IT Project Manager - Information Technology (Ref no.: JD/ITD/022/210412),Schenker International (H.K.) Ltd,Tsing Yi,Salary provided,Posted on 12 Apr 2021,Senior,Matriculated,6 years,"Full Time, Permanent",Freight Forwarding / Delivery / Shipping
30,IT Support Engineer,Primetech Technology Limited,,Salary negotiable,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Contract, Full Time, Permanent",Information Technology
31,Application Developer,Central Business Information Limited,Wan Chai,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,N/A,"Contract, Internship, Part Time",Research / Survey
32,I.T. Security Analyst (Ref. No.: L21/04-0026),Link Asset Management Limited,,Salary negotiable,Posted on 12 Apr 2021,Middle,Degree,5 years,"Full Time, Permanent",Property Management / Consultancy
33,IT Manager ,Q P Printing Ltd,Shatin Area,Salary provided,Posted on 10 Apr 2021,Middle,Degree,5 years,"Full Time, Permanent",Manufacturing
34,IT Helpdesk Support (Virtual Bank),Welab Bank Limited,Quarry Bay,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Financial Services
35,Assistant Officer – Information Technology (Helpdesk) (Ref: IT/04/681),Hong Kong Examinations and Assessment Authority,,Posted on 12 Apr 2021,Posted on 12 Apr 2021,Entry Level,Degree,3 years,"Contract, Full Time",Education
36,Game Production Assistant (Part-time),Uglysoft,Kowloon Bay,HK$40 - HK$59 /hour ,Posted on 11 Apr 2021,Entry Level,Not Specified,Not Specified,Part Time,Entertainment / Recreation
37,Deskside Support Engineer / IT Technician (5-Day work),Serviceone Limited,Kwun Tong Area,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,Full Time,Information Technology
38,IT Manager (Station in PRC),Lee & Man Paper Manufacturing Limited,,Salary provided,Posted on 10 Apr 2021,Senior,Not Specified,8 years,"Full Time, Permanent",Information Technology (IT) > IT Management
39,System Administrator ,Midland Holdings Limited,Cheung Sha Wan,Salary negotiable,Posted on 12 Apr 2021,Middle,Non-Degree Tertiary,2 years,"Full Time, Permanent",Property Management / Consultancy
40,Technical Support,Pacific Textiles Ltd,Kwai Hing,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Degree,N/A,"Full Time, Permanent",Clothing / Garment / Textile
41,System Administrator,Hong Kong Education City Limited,Shatin Area,Salary negotiable,Posted on 12 Apr 2021,Middle,Degree,2 years,Full Time,Education
42,"Project Assistant, IT & Digital",Neo Derm (HK) Ltd,Tai Koo,Salary provided,Posted on 12 Apr 2021,Entry Level,Degree,Not Specified,"Full Time, Permanent",Health & Beauty Care
43,Urgent - Senior IT Officer (Japanese F&B company)*Up to 35K,"JAC Recruitment Hong Kong Co., Limited",Shatin Area,Salary negotiable,Posted on 12 Apr 2021,Entry Level,(N/A),3 years,"Full Time, Permanent",Food and Beverage
44, IT Programmer,Central Business Information Limited,Wan Chai,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent",Research / Survey
45,"Assistant Manager – Group IT, Application Management (Ref: AM-GITMB)",Dah Chong Hong Holdings Limited,Kowloon Bay,Salary provided,Posted on 12 Apr 2021,Middle,Degree,3 years,"Full Time, Permanent",Mixed Industry Group
46,System Administrator,Amscan Asia Limited,Lai Chi Kok,Salary provided,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,2 years,"Full Time, Permanent",Trading and Distribution
47,Information Technology Manager (Network & Information Security),Hong Kong College of Technology,Shatin Area,Salary provided,Posted on 12 Apr 2021,Senior,Degree,5 years,Full Time,Education
48,IT support Analyst,Randstad Hong Kong Limited,,"HK$30,000 - HK$45,000 /month (negotiable)",Posted on 12 Apr 2021,Entry Level,Degree,N/A,"Full Time, Permanent","Information Technology (IT), Information Technology (IT) > Support"
49,System Analyst,Hong Kong L.P. Gas (Holdings) Limited,Yau Ma Tei,Posted on 12 Apr 2021,Posted on 12 Apr 2021,Middle,Degree,5 years,"Full Time, Permanent",Engineering - Others
50,IT System Engineer / Network Engineer / Technical Officer / Support Technician,Eware Networks Ltd,Kwun Tong,Salary provided,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,Full Time,Information Technology
51,Senior System Engineer/System Engineer,Excel Technology International (Hong Kong) Limited,Quarry Bay,Salary negotiable,Posted on 12 Apr 2021,Not Specified,Matriculated,Not Specified,"Full Time, Permanent",Information Technology
52,Urgent - IT Officer or Senior IT Officer (Japanese F&B company)*Up to 25K,"JAC Recruitment Hong Kong Co., Limited",Shatin Area,Salary negotiable,Posted on 12 Apr 2021,Entry Level,(N/A),3 years,"Full Time, Permanent",Food and Beverage
53,IT Specialist (Network & Security),Schneider Electric (Hong Kong) Ltd,Quarry Bay,Salary provided,Posted on 12 Apr 2021,Not Specified,Non-Degree Tertiary,5 years,"Full Time, Permanent",Electronics / Electrical Equipment
54,"Data Analyst, Information Technology ",MSIG Insurance (Hong Kong) Limited,Tai Koo,Salary provided,Posted on 12 Apr 2021,Middle,Degree,4 years,"Full Time, Permanent",Insurance / Pension Funding
55,Assistant Manager (IT Project Management Office PMO) (Contract Basis),CHOW TAI FOOK JEWELLERY CO LTD,Kwai Hing,Salary negotiable,Posted on 12 Apr 2021,Middle,Degree,5 years,"Full Time, Permanent",Jewellery / Gems / Watches
56,Manager / Senior Officer – IT Infrastructure (Ref:JD/IT-NSA),Build King Holdings Ltd,Kwun Tong,Salary provided,Posted on 12 Apr 2021,Middle,Degree,8 years,"Full Time, Permanent",Information Technology
57,Junior Software Developer (fresh graduates are welcome),Itinni Limited,Tseung Kwan O,"HK$17,000 - HK$25,000 /month (negotiable)",Posted on 12 Apr 2021,Entry Level,Degree,N/A,"Full Time, Permanent",Tourism / Travel Agency
58,IT Technical Support Officer ,Taylor Coulter,Shatin Area,"HK$20,000 - HK$25,000 /month (negotiable)",Posted on 12 Apr 2021,Entry Level,Postgraduate,2 years,"Contract, Full Time",Human Resources Management / Consultancy
59,"Business Analyst, Information Technology",MSIG Insurance (Hong Kong) Limited,Tai Koo,Salary provided,Posted on 12 Apr 2021,Entry Level,Degree,2 years,"Full Time, Permanent",Insurance / Pension Funding
60,Technical Support Engineer,China Comservice (Hong Kong) Limited,Chai Wan,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Not Specified,1 year,Full Time,Telecommunication
61,Senior/ Technology Consultant- Software Developer,GreySpark Partners (HK) Limited,Central & Western Area,Salary negotiable,Posted on 12 Apr 2021,Middle,Degree,2 years,"Full Time, Permanent",Information Technology
62,Technical Education Consultant (Full-time / Part-time),Kenfil Hong Kong Ltd,Wan Chai,Salary negotiable,Posted on 11 Apr 2021,Middle,Degree,3 years,"Full Time, Part Time","Education > Teacher, Education > Tutor / Instructor, Information Technology (IT) > Technical / Functional Consulting"
63,IT Support Engineer (5 days' work),Dual Layer IT Solutions Limited,Quarry Bay,Salary provided,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,2 years,"Full Time, Permanent",Information Technology
64,IT Assistant (Government Sector),Kelly Services Hong Kong Limited,Central & Western Area,Salary provided,Posted on 12 Apr 2021,Entry Level,School Certificate,2 years,"Contract, Full Time",Information Technology
65,IT Support Engineer (Fresh Graduates are welcome),Ebroker Systems Ltd,Central,Salary provided,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,Full Time,Information Technology
66,IT Analyst Programmer/Junior Programmer (5 day work),Kwoon Chung Bus Holdings Limited,Kwai Fong,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent",Mass Transportation
67,Project Manager,ECCOM Network (HK) Limited,Wan Chai,Salary negotiable,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,Full Time,Information Technology
68,Product Support Officer (Cloud based HR related IT Solution) (5-day work),YOOV  Internet Technology Limited,Kwun Tong,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Degree,2 years,"Full Time, Permanent",Information Technology
69,Assistant IT Manager,The Kowloon Dairy Ltd,Central,Salary negotiable,Posted on 09 Apr 2021,Senior,Degree,7 years,"Full Time, Permanent",Food and Beverage
70,Field Support Engineer (Ref: JDB- FE),NTT Com Asia Limited,Tseung Kwan O,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent",Telecommunication
71,System Development Manager-IT (Middle Tier),Hong Kong Exchanges and Clearing Limited,Tseung Kwan O,Salary negotiable,Posted on 12 Apr 2021,Middle,Degree,6 years,Full Time,"Information Technology (IT), Information Technology (IT) > Application Specialist - Network, Information Technology (IT) > Network & System"
72,System Analyst,Taste of Asia Group Limited,Wong Tai Sin Area,Salary negotiable,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,Full Time,Hospitality / Catering
73,IT Project Assistant/ IT Procurement Clerk/ IT Administrator,Robert Walters (HK),,"HK$20,000 - HK$30,000 /month ",Posted on 12 Apr 2021,Middle,Degree,N/A,"Contract, Full Time",Others
74,IT Manager,The Nano and Advanced Materials Institute Limited (NAMI),Shatin Area,Salary negotiable,Posted on 09 Apr 2021,Middle,Degree,10 years,"Contract, Full Time",Research / Survey
75,Application Support Analyst,Pathlab Medical Laboratories Limited,North Point,"HK$25,000 - HK$30,000 /month (negotiable)",Posted on 12 Apr 2021,Middle,Degree,3 years,Full Time,Medical / Pharmaceutical
76,System Analyst,iAsia Online Systems Limited,Yau Tsim Mong Area,Salary negotiable,Posted on 12 Apr 2021,Not Specified,Non-Degree Tertiary,5 years,"Full Time, Permanent",Information Technology
77,IT Helpdesk Officer / IT Helpdesk Trainee / IT Engineer,OPM Systems Company Limited,Lai Chi Kok,Salary negotiable,Posted on 12 Apr 2021,Entry Level,School Certificate,N/A,"Full Time, Internship, Permanent",Information Technology
78,Software Developer / Senior Software Developer,Lively Impact Technology Limited,Shatin Area,"HK$17,000 - HK$25,000 /month (negotiable)",Posted on 12 Apr 2021,Not Specified,Degree,1 year,"Full Time, Permanent",Information Technology
79,Technical Support Engineer (Fresh Graduate are Welcome),IS Services Limited,Tsuen Wan Area,Salary provided,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,"Contract, Full Time",Information Technology
80,On-site Network Support Engineer (Ref: JDB- FE),NTT Com Asia Limited,Tseung Kwan O,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent",Telecommunication
81,Programmer / Software Engineer ,Opencart Limited,Tuen Mun Area,"HK$35,000 - HK$45,000 /month (negotiable)",Posted on 12 Apr 2021,Senior,Degree,10 years,Full Time,Information Technology
82,"Senior IT Coordinator, Helpdesk Call Centre",Optimum Solutions (Hong Kong) Limited,Aberdeen,Salary provided,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,4 years,"Contract, Full Time",Information Technology
83,Project Coordinator - IT Innovation (Fresh graduate is welcome) ,CITIC Telecom International CPC Limited,Kwun Tong,Salary provided,Posted on 12 Apr 2021,Entry Level,Degree,1 year,"Full Time, Permanent",Telecommunication
84,IT Graduate Trainee,Orient Overseas Container Line Ltd (OOCL),Shatin Area,Salary negotiable,Posted on 11 Apr 2021,Entry Level,Degree,N/A,"Full Time, Permanent",Freight Forwarding / Delivery / Shipping
85,IT System/Infrastructure Engineer (Windows Server and Citrix),Ambition,,"HK$25,000 - HK$35,000 /month ",Posted on 12 Apr 2021,Middle,Degree,4 years,"Full Time, Permanent","Information Technology (IT) > Support, Information Technology (IT) > Network & System"
86,I.T. Support Officer  ,NTK Academic Group Limited,Causeway Bay,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent",Education
87,"Global IT Helpdesk Engineer (Work Life Balance, 20AL)",Page Personnel,,Salary provided,Posted on 12 Apr 2021,Middle,Degree,2 years,"Full Time, Permanent","Information Technology (IT), Information Technology (IT) > Hardware, Information Technology (IT) > Others"
88,IT Helpdesk Support - FSI Required ($20-28k),Ambition,Mong Kok,"HK$25,000 - HK$35,000 /month (negotiable)",Posted on 12 Apr 2021,Middle,Degree,1 year,"Full Time, Permanent","Information Technology (IT), Information Technology (IT) > Support, Information Technology (IT) > Others"
89,IT Platform Engineer,Up Recruitment Limited,Eastern Area,Salary negotiable,Posted on 12 Apr 2021,Middle,Degree,7 years,"Full Time, Permanent",Information Technology
90,Full-stack Software Engineer / Programmer,Smartmore Corporation Limited,Shatin Area,Salary negotiable,Posted on 12 Apr 2021,Not Specified,Not Specified,1 year,Full Time,Information Technology
91,Fullstack Developer,EQS TodayIR Limited,Wan Chai,Salary negotiable,Posted on 12 Apr 2021,Middle,Non-Degree Tertiary,2 years,Full Time,Financial Services
92,IT Manager ,Bridgestone Aircraft Tire Company (Asia) Limited,Tai Po Area,Salary provided,Posted on 09 Apr 2021,Senior,Degree,5 years,"Full Time, Permanent",Manufacturing
93,IT Helpdesk Support (18K+),EIDEALINK LIMITED,Wan Chai,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,Full Time,Human Resources Management / Consultancy
94,IT Business Analyst - Information Technology (Ref no.: JD/ITD/007/210412),Schenker International (H.K.) Ltd,Tseung Kwan O,Salary provided,Posted on 12 Apr 2021,Middle,Matriculated,3 years,"Full Time, Permanent",Freight Forwarding / Delivery / Shipping
95,Technical Support Engineer (Ref: JDB- CW),NTT Com Asia Limited,Tseung Kwan O,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,"Contract, Full Time",Telecommunication
96,NOC Engineer (Networking) (Perm Role) (Welcome Fresh Graduate),PeopleLink Services Limited,,Salary provided,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,N/A,"Full Time, Permanent",Telecommunication
97,Senior Analyst Programmer / System Analyst,CITIC Telecom International CPC Limited,Kwun Tong,Salary provided,Posted on 12 Apr 2021,Middle,Degree,3 years,"Full Time, Permanent",Telecommunication
98,"Engineer, Network System Support",China Mobile Hong Kong 中國移動香港,Kwai Hing,Posted on 12 Apr 2021,Posted on 12 Apr 2021,Entry Level,Degree,2 years,"Full Time, Permanent",Telecommunication
99,Designer / Assistant Designer,Paco Interior Design Limited,Wan Chai,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Degree,3 years,"Full Time, Permanent","Design > Interior, Design > Others, Information Technology (IT) > Application Specialist - Software"
100,IT manager (Cybersecurity) ,Hong Kong Digital Asset Ex Limited,Central,Salary negotiable,Posted on 09 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Financial Services
101,Database Administrator (MySQL),Imusic Idol Limited,North Point,Salary negotiable,Posted on 12 Apr 2021,Not Specified,Degree,Not Specified,Full Time,Information Technology
102,Customer Service Representative (Public Sector- IT Helpdesk Support ),HKT Teleservices,Sheung Wan,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,2 years,"Full Time, Permanent",Telecommunication
103,IT Manager (Job Code: 620),Baptist Oi Kwan Social Service,Wan Chai,Salary provided,Posted on 09 Apr 2021,Senior,Degree,3 years,Full Time,Charity / Social Services / Non-Profit Organisation
104,Software System Tester ,Version System International Ltd,Kwun Tong,Salary provided,Posted on 12 Apr 2021,Entry Level,School Certificate,2 years,"Full Time, Permanent",Information Technology
105,IT MANAGER – DIGITAL MARKETING,Nan Fung Group,Sheung Wan,Posted on 09 Apr 2021,Posted on 09 Apr 2021,Middle,Degree,10 years,"Full Time, Permanent",Property Development
106,System Analyst / Analyst Programmer,Christian Alliance International School,Lai Chi Kok,Salary provided,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,3 years,"Full Time, Permanent",Education
107,Junior Software Developer (Ecommerce),Navy Nicy Company Limited,Lai Chi Kok,Salary provided,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,N/A,"Full Time, Permanent",Information Technology
108,Programmer,Physical Health Centre Hong Kong Limited,North Point,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,Full Time,Health & Beauty Care
109,Backend Software Engineer,Tandem Money Hong Kong Limited,Wan Chai,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,3 years,"Full Time, Permanent",Financial Services
110,Programmer (Java / Cloud / Backend) (Fresh graduate welcome),Zensis Limited,Shatin Area,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Degree,N/A,"Full Time, Permanent",Information Technology
111,R&D Researcher / Engineer / Programmer - Full time,賢思創科有限公司,Shatin Area,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Degree,N/A,"Contract, Full Time",Others
112,System Analyst (Ref:12-APR-2021/ITO/JD),Sik Sik Yuen,Wong Tai Sin Area,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Contract, Full Time","Information Technology (IT) > Application Specialist - Software, Information Technology (IT) > Application Specialist - Network, Others > Others"
113,Analyst Programmer / Programmer,Gamania Digital Entertainment (HK) Co Ltd,Hung Hom,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,N/A,"Full Time, Permanent",Information Technology
114,IT Security Analyst- Multinational Company,TEKsystems,,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent","Information Technology (IT) > IT Auditing, Information Technology (IT) > Security, Information Technology (IT) > Network & System"
115,SYSTEMS ANALYST [Ref. SA],Hutchison Property Management Company Limited,Hung Hom,Posted on 12 Apr 2021,Posted on 12 Apr 2021,Entry Level,Degree,4 years,"Full Time, Permanent",Property Management / Consultancy
116,Analyst Programmers / System Analysts ,Object Valley (Asia Pacific) Limited,Wan Chai,Salary negotiable,Posted on 12 Apr 2021,Middle,Degree,5 years,"Full Time, Permanent",Information Technology
117,Product Officer (Cloud based HR related IT Solution) (5-day work),YOOV  Internet Technology Limited,Kwun Tong,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Degree,2 years,"Full Time, Permanent",Information Technology
118,"Software Engineer, Backend",Aigens Technology Limited,Kwun Tong Area,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Information Technology
119,Assistant Project Manager (IT/Ecommerce),Mydress Holdings Limited,Ngau Tau Kok,Salary provided,Posted on 10 Apr 2021,Middle,Non-Degree Tertiary,4 years,Full Time,Information Technology
120,Project Manager,BUPA Asia Limited,Quarry Bay,Salary provided,Posted on 12 Apr 2021,Middle,Degree,8 years,"Full Time, Permanent",Insurance / Pension Funding
121,Full Stack / Backend Developer,SVVAP LIMITED,Sheung Wan,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Degree,2 years,Full Time,Information Technology
122,Programmer / Software Developer (Welcome Fresh Graduate),BGC Group (HK) Limited,Admiralty,Salary provided,Posted on 12 Apr 2021,Entry Level,Not Specified,Not Specified,"Full Time, Permanent",Information Technology
123,Senior IT Strategic Planning Analyst,Robert Walters (HK),,"HK$35,000 - HK$55,000 /month (negotiable)",Posted on 12 Apr 2021,Middle,Degree,N/A,"Full Time, Permanent","Information Technology (IT), Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > Others"
124,"Manager, Software Development",Principal Insurance Company (Hong Kong) Limited,Kwun Tong,Posted on 12 Apr 2021,Posted on 12 Apr 2021,Middle,Degree,10 years,"Full Time, Part Time, Permanent",Insurance / Pension Funding
125,Senior / System Engineer ,Macro Systems Ltd,Kwun Tong,Salary negotiable,Posted on 12 Apr 2021,Middle,Non-Degree Tertiary,Not Specified,"Full Time, Permanent",Information Technology
126,Recruitment Consultant (IT Industry),W Consulting Company Limited,Wan Chai,Base salary + high commission,Posted on 12 Apr 2021,Middle,Degree,2 years,"Full Time, Permanent",Human Resources Management / Consultancy
127,Analyst Programmer,Central Business Information Limited,Wan Chai,Salary negotiable,Posted on 12 Apr 2021,Middle,Non-Degree Tertiary,3 years,"Full Time, Permanent",Research / Survey
128,Senior System Engineer (Back End),Octopus Holdings Limited,Kowloon Bay,Posted on 12 Apr 2021,Posted on 12 Apr 2021,Middle,Degree,5 years,"Full Time, Permanent",Financial Services
129,System Analyst / Analyst Programmer,Magic Compass Pty Limited,Tsim Sha Tsui,Salary provided,Posted on 12 Apr 2021,Middle,Degree,3 years,"Full Time, Permanent",Information Technology
130,Project Executive,SEKGAMDONG LTD.,Kwai Hing,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,N/A,"Full Time, Permanent",Information Technology
131,Technical Support Specialist,City Computing Limited,Wan Chai,Salary provided,Posted on 12 Apr 2021,Middle,Non-Degree Tertiary,3 years,Full Time,Information Technology
132,Full Stack Developer,Bee Games Limited,Tsim Sha Tsui,"HK$25,000 - HK$45,000 /month (negotiable)",Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Others
133,"Manager, Training and Professional Development (LMS development and related projects)",OnePlatform Wealth Management Limited,Wan Chai,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Financial Services
134,Analyst Programmer,Creasant Digital Limited,Ngau Tau Kok,Salary negotiable,Posted on 12 Apr 2021,Not Specified,Degree,1 year,"Full Time, Permanent",Information Technology
135,Project Coordinator/ Administrator ,ESD Services Limited (ESDlife),Hung Hom,Salary provided,Posted on 12 Apr 2021,Entry Level,Degree,N/A,"Full Time, Permanent",Information Technology
136,"Senior Officer, Training and Professional Development (LMS development and related projects)",OnePlatform Wealth Management Limited,Wan Chai,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,5 years,"Full Time, Permanent",Financial Services
